Date,Year,Customer number,Region,Customer type,Division,Product,Division product combo,Distribution channel,Sales revenue,Sales tax amount,Total invoice,Variable COGS
2021-09-09,Current,12644-4-IN,South,Individual,Office supplies,Writing,Office supplies: Writing,Website,160,9.12,169.12,64
2020-01-21,Prior,16164-3-BU,North,Business,Office supplies,Paper,Office supplies: Paper,Store,630,47.88,677.88,252
2020-01-30,Prior,13218-4-BU,South,Business,Electronics,Cell phones,Electronics: Cell phones,Store,850,28.05,878.05,340
2021-06-05,Current,12890-4-BU,South,Business,Office supplies,Paper,Office supplies: Paper,Catalog,50,2.85,52.85,20
2021-06-12,Current,13660-5-IN,West,Individual,Office supplies,Office basics,Office supplies: Office basics,Website,1300,87.1,1387.1,520
2021-11-01,Current,18954-3-BU,North,Business,Books,Nonfiction - Technology,Books: Nonfiction - Technology,Store,20,0.76,20.76,8
2021-07-30,Current,19410-3-BU,North,Business,Electronics,Cell phones,Electronics: Cell phones,Store,1910,53.48,1963.48,764
2021-09-15,Current,16965-3-BU,North,Business,Office supplies,Paper,Office supplies: Paper,Store,230,5.06,235.06,92
2020-01-26,Prior,11037-2-IN,East,Individual,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Catalog,320,13.44,333.44,128
2021-10-12,Current,11042-2-BU,East,Business,Office supplies,Office basics,Office supplies: Office basics,Store,1110,75.48,1185.48,444
2021-09-04,Current,13629-4-IN,South,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,660,48.84,708.84,264
2020-09-17,Prior,13215-5-IN,West,Individual,Electronics,Computers,Electronics: Computers,Website,2740,131.52,2871.52,1096
2021-05-29,Current,17082-3-BU,North,Business,Electronics,Cell phones,Electronics: Cell phones,Website,1440,69.12,1509.12,576
2020-06-28,Prior,10333-4-IN,South,Individual,Office supplies,Paper,Office supplies: Paper,Store,240,10.56,250.56,96
2021-07-23,Current,13381-2-BU,East,Business,Electronics,Cell phones,Electronics: Cell phones,Website,2060,94.76,2154.76,824
2020-08-15,Prior,10152-4-BU,South,Business,Office supplies,Calendars,Office supplies: Calendars,Store,230,11.73,241.73,92
2020-06-29,Prior,16461-1-IN,Central,Individual,Electronics,Cell phones,Electronics: Cell phones,Store,1670,106.88,1776.88,668
2021-04-08,Current,18144-3-BU,North,Business,Electronics,Cell phones,Electronics: Cell phones,Store,1580,86.9,1666.9,632
2020-03-24,Prior,16338-1-IN,Central,Individual,Office supplies,Writing,Office supplies: Writing,Store,280,21.0,301.0,112
2020-01-19,Prior,16970-1-IN,Central,Individual,Office supplies,Paper,Office supplies: Paper,Website,110,8.47,118.47,44
2020-01-21,Prior,14342-1-IN,Central,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,1130,57.63,1187.63,452
2021-12-16,Current,18573-3-BU,North,Business,Electronics,Computers,Electronics: Computers,Store,1660,107.9,1767.9,664
2020-03-15,Prior,14169-2-BU,East,Business,Office supplies,Office basics,Office supplies: Office basics,Catalog,1470,52.92,1522.92,588
2020-01-26,Prior,18035-1-BU,Central,Business,Office supplies,Paper,Office supplies: Paper,Store,80,3.6,83.6,32
2020-11-08,Prior,11601-1-IN,Central,Individual,Office supplies,Office basics,Office supplies: Office basics,Website,450,30.6,480.6,180
2020-02-09,Prior,12826-1-IN,Central,Individual,Office supplies,Writing,Office supplies: Writing,Website,190,10.07,200.07,76
2021-09-09,Current,14604-1-IN,Central,Individual,Electronics,Cell phones,Electronics: Cell phones,Catalog,630,36.54,666.54,252
2020-01-26,Prior,15031-4-IN,South,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,1230,68.88,1298.88,492
2021-07-30,Current,17034-3-BU,North,Business,Office supplies,Writing,Office supplies: Writing,Website,20,1.46,21.46,8
2020-02-11,Prior,13615-3-IN,North,Individual,Office supplies,Paper,Office supplies: Paper,Store,900,34.2,934.2,360
2020-02-04,Prior,16774-2-IN,East,Individual,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Store,600,42.6,642.6,240
2021-06-09,Current,14764-2-IN,East,Individual,Office supplies,Writing,Office supplies: Writing,Website,260,14.3,274.3,104
2021-09-06,Current,10871-3-IN,North,Individual,Electronics,Camera and photo,Electronics: Camera and photo,Store,2510,105.42,2615.42,1004
2021-10-25,Current,14541-2-IN,East,Individual,Office supplies,Writing,Office supplies: Writing,Catalog,220,15.84,235.84,88
2021-05-01,Current,17965-2-BU,East,Business,Electronics,Cell phones,Electronics: Cell phones,Store,3700,240.5,3940.5,1480
2021-09-26,Current,11838-1-IN,Central,Individual,Office supplies,Office basics,Office supplies: Office basics,Catalog,1520,139.84,1659.84,608
2020-09-14,Prior,18215-5-IN,West,Individual,Electronics,Cell phones,Electronics: Cell phones,Store,2410,79.53,2489.53,964
2020-01-07,Prior,14341-2-IN,East,Individual,Electronics,TV and video,Electronics: TV and video,Catalog,6140,325.42,6465.42,2456
2020-10-29,Prior,18803-5-IN,West,Individual,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Store,770,50.82,820.82,308
2021-10-08,Current,17660-5-BU,West,Business,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Store,330,24.42,354.42,132
2020-08-12,Prior,10589-3-IN,North,Individual,Electronics,Cell phones,Electronics: Cell phones,Store,1980,134.64,2114.64,792
2021-05-29,Current,13618-2-IN,East,Individual,Office supplies,Writing,Office supplies: Writing,Store,40,3.04,43.04,16
2020-01-30,Prior,12348-4-BU,South,Business,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Store,80,1.84,81.84,32
2020-09-20,Prior,14212-3-IN,North,Individual,Office supplies,Paper,Office supplies: Paper,Catalog,590,48.38,638.38,236
2020-07-28,Prior,19180-3-IN,North,Individual,Books,Nonfiction - Technology,Books: Nonfiction - Technology,Website,150,9.15,159.15,60
2020-12-11,Prior,10464-4-IN,South,Individual,Office supplies,Calendars,Office supplies: Calendars,Store,280,17.64,297.64,112
2021-08-18,Current,19499-1-BU,Central,Business,Books,Nonfiction - Self-help,Books: Nonfiction - Self-help,Store,90,3.42,93.42,36
2020-04-10,Prior,12274-4-BU,South,Business,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Website,20,0.92,20.92,8
2020-03-14,Prior,15113-5-IN,West,Individual,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Website,780,44.46,824.46,312
2020-09-05,Prior,18470-3-BU,North,Business,Electronics,Computers,Electronics: Computers,Store,4810,269.36,5079.36,1924
2020-07-06,Prior,16253-1-BU,Central,Business,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Catalog,370,24.05,394.05,148
2021-10-25,Current,18630-3-IN,North,Individual,Electronics,Computers,Electronics: Computers,Store,2070,194.58,2264.58,828
2021-12-05,Current,15469-4-IN,South,Individual,Office supplies,Writing,Office supplies: Writing,Store,230,12.88,242.88,92
2020-02-14,Prior,15666-5-IN,West,Individual,Office supplies,Paper,Office supplies: Paper,Store,270,20.52,290.52,108
2021-01-10,Current,16458-4-BU,South,Business,Office supplies,Office basics,Office supplies: Office basics,Store,950,50.35,1000.35,380
2020-03-22,Prior,15497-4-IN,South,Individual,Books,Nonfiction - History,Books: Nonfiction - History,Catalog,110,5.72,115.72,44
2020-03-22,Prior,17489-2-IN,East,Individual,Office supplies,Calendars,Office supplies: Calendars,Store,290,15.37,305.37,116
2021-06-12,Current,19881-1-IN,Central,Individual,Books,Nonfiction - History,Books: Nonfiction - History,Catalog,170,14.45,184.45,68
2020-05-17,Prior,13704-1-BU,Central,Business,Office supplies,Office basics,Office supplies: Office basics,Website,140,4.48,144.48,56
2020-03-11,Prior,16659-1-IN,Central,Individual,Electronics,TV and video,Electronics: TV and video,Website,6220,447.84,6667.84,2488
2020-07-13,Prior,11522-3-IN,North,Individual,Office supplies,Paper,Office supplies: Paper,Store,370,19.98,389.98,148
2020-07-18,Prior,16482-4-IN,South,Individual,Office supplies,Paper,Office supplies: Paper,Website,450,34.65,484.65,180
2021-07-13,Current,18513-4-IN,South,Individual,Electronics,TV and video,Electronics: TV and video,Store,3100,192.2,3292.2,1240
2021-11-04,Current,10459-1-IN,Central,Individual,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Website,540,52.92,592.92,216
2021-08-18,Current,19403-4-IN,South,Individual,Electronics,TV and video,Electronics: TV and video,Store,490,22.54,512.54,196
2020-02-16,Prior,17117-3-IN,North,Individual,Books,Nonfiction - Technology,Books: Nonfiction - Technology,Store,170,16.15,186.15,68
2020-04-10,Prior,14234-5-IN,West,Individual,Electronics,TV and video,Electronics: TV and video,Catalog,7610,395.72,8005.72,3044
2020-03-10,Prior,18169-4-IN,South,Individual,Electronics,Cell phones,Electronics: Cell phones,Website,1910,118.42,2028.42,764
2021-03-09,Current,15205-4-IN,South,Individual,Office supplies,Paper,Office supplies: Paper,Store,50,2.6,52.6,20
2020-10-25,Prior,16717-5-IN,West,Individual,Electronics,TV and video,Electronics: TV and video,Website,3050,106.75,3156.75,1220
2021-12-16,Current,18419-3-BU,North,Business,Office supplies,Paper,Office supplies: Paper,Store,620,27.28,647.28,248
2021-11-04,Current,15613-3-BU,North,Business,Electronics,TV and video,Electronics: TV and video,Store,6320,486.64,6806.64,2528
2020-07-06,Prior,18189-3-IN,North,Individual,Electronics,Cell phones,Electronics: Cell phones,Website,3840,218.88,4058.88,1536
2020-02-14,Prior,14198-5-BU,West,Business,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Website,170,9.35,179.35,68
2020-08-14,Prior,15735-3-BU,North,Business,Office supplies,Writing,Office supplies: Writing,Store,500,31.0,531.0,200
2020-11-15,Prior,11217-5-IN,West,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,1020,77.52,1097.52,408
2021-06-12,Current,12453-1-IN,Central,Individual,Electronics,Computers,Electronics: Computers,Store,340,24.48,364.48,136
2021-10-08,Current,15329-5-IN,West,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,770,36.19,806.19,308
2021-05-03,Current,11439-3-IN,North,Individual,Books,Nonfiction - Self-help,Books: Nonfiction - Self-help,Catalog,110,4.84,114.84,44
2021-10-28,Current,17545-5-IN,West,Individual,Electronics,TV and video,Electronics: TV and video,Store,6700,348.4,7048.4,2680
2020-02-10,Prior,13484-2-BU,East,Business,Office supplies,Paper,Office supplies: Paper,Store,880,45.76,925.76,352
2021-08-04,Current,11356-1-BU,Central,Business,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Store,230,15.41,245.41,92
2020-05-17,Prior,18729-1-IN,Central,Individual,Books,Nonfiction - Self-help,Books: Nonfiction - Self-help,Store,40,1.48,41.48,16
2021-09-15,Current,11522-3-IN,North,Individual,Electronics,Camera and photo,Electronics: Camera and photo,Store,3210,173.34,3383.34,1284
2021-11-01,Current,11335-5-IN,West,Individual,Office supplies,Paper,Office supplies: Paper,Store,440,26.84,466.84,176
2020-09-01,Prior,14121-2-IN,East,Individual,Electronics,TV and video,Electronics: TV and video,Store,2800,123.2,2923.2,1120
2020-04-17,Prior,11181-4-IN,South,Individual,Office supplies,Office basics,Office supplies: Office basics,Catalog,1360,87.04,1447.04,544
2021-08-09,Current,18886-3-BU,North,Business,Office supplies,Office basics,Office supplies: Office basics,Store,1920,136.32,2056.32,768
2021-08-16,Current,12128-4-IN,South,Individual,Electronics,Cell phones,Electronics: Cell phones,Store,3300,118.8,3418.8,1320
2021-05-19,Current,18221-5-IN,West,Individual,Office supplies,Paper,Office supplies: Paper,Website,220,11.88,231.88,88
2021-09-30,Current,13320-5-IN,West,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,800,52.0,852.0,320
2021-07-11,Current,11663-3-IN,North,Individual,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Catalog,430,29.24,459.24,172
2021-08-05,Current,11849-2-IN,East,Individual,Office supplies,Paper,Office supplies: Paper,Store,920,86.48,1006.48,368
2020-07-28,Prior,16609-2-IN,East,Individual,Office supplies,Paper,Office supplies: Paper,Store,580,35.38,615.38,232
2020-07-13,Prior,14316-4-IN,South,Individual,Office supplies,Calendars,Office supplies: Calendars,Website,300,15.3,315.3,120
2020-08-15,Prior,12877-3-IN,North,Individual,Electronics,TV and video,Electronics: TV and video,Store,3750,213.75,3963.75,1500
2020-04-10,Prior,19561-3-IN,North,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,790,19.75,809.75,316
2020-11-11,Prior,17273-2-BU,East,Business,Electronics,Cell phones,Electronics: Cell phones,Store,2500,170.0,2670.0,1000
2021-10-25,Current,12810-2-IN,East,Individual,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Catalog,100,5.1,105.1,40
2020-10-31,Prior,15189-3-IN,North,Individual,Electronics,Cell phones,Electronics: Cell phones,Catalog,3530,271.81,3801.81,1412
2021-08-18,Current,13116-2-IN,East,Individual,Electronics,TV and video,Electronics: TV and video,Catalog,4870,272.72,5142.72,1948
2020-03-10,Prior,10939-2-BU,East,Business,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Store,350,12.95,362.95,140
2020-01-20,Prior,18404-3-BU,North,Business,Office supplies,Paper,Office supplies: Paper,Store,450,19.8,469.8,180
2021-12-14,Current,10705-5-IN,West,Individual,Office supplies,Writing,Office supplies: Writing,Store,110,8.58,118.58,44
2021-05-03,Current,17993-3-IN,North,Individual,Electronics,Camera and photo,Electronics: Camera and photo,Store,1360,84.32,1444.32,544
2020-08-26,Prior,12779-1-IN,Central,Individual,Books,Nonfiction - Technology,Books: Nonfiction - Technology,Website,100,6.8,106.8,40
2021-05-03,Current,17234-4-IN,South,Individual,Electronics,Computers,Electronics: Computers,Store,2770,168.97,2938.97,1108
2021-09-26,Current,13660-5-IN,West,Individual,Books,Nonfiction - Technology,Books: Nonfiction - Technology,Store,190,12.73,202.73,76
2021-09-06,Current,13257-3-IN,North,Individual,Electronics,Cell phones,Electronics: Cell phones,Website,2270,77.18,2347.18,908
2020-12-21,Prior,16306-5-IN,West,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,1420,49.7,1469.7,568
2020-01-21,Prior,12642-2-IN,East,Individual,Electronics,Computers,Electronics: Computers,Store,3250,243.75,3493.75,1300
2021-09-26,Current,18701-5-IN,West,Individual,Electronics,Cell phones,Electronics: Cell phones,Catalog,2440,65.88,2505.88,976
2021-02-08,Current,14307-4-BU,South,Business,Books,Nonfiction - Technology,Books: Nonfiction - Technology,Catalog,100,4.3,104.3,40
2021-07-10,Current,11373-2-BU,East,Business,Office supplies,Paper,Office supplies: Paper,Store,590,27.14,617.14,236
2020-10-08,Prior,13513-3-IN,North,Individual,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Store,160,8.32,168.32,64
2020-01-21,Prior,11197-3-IN,North,Individual,Office supplies,Writing,Office supplies: Writing,Store,210,7.56,217.56,84
2020-05-19,Prior,18044-3-IN,North,Individual,Office supplies,Office basics,Office supplies: Office basics,Catalog,1040,81.12,1121.12,416
2021-02-08,Current,14653-3-IN,North,Individual,Office supplies,Writing,Office supplies: Writing,Website,480,26.88,506.88,192
2020-07-28,Prior,19655-2-BU,East,Business,Electronics,Computers,Electronics: Computers,Store,2500,130.0,2630.0,1000
2021-09-26,Current,12956-3-IN,North,Individual,Office supplies,Writing,Office supplies: Writing,Catalog,50,2.65,52.65,20
2020-05-19,Prior,10766-5-IN,West,Individual,Office supplies,Writing,Office supplies: Writing,Store,280,7.84,287.84,112
2020-03-22,Prior,14263-5-IN,West,Individual,Office supplies,Paper,Office supplies: Paper,Store,860,58.48,918.48,344
2021-12-31,Current,18278-3-IN,North,Individual,Electronics,TV and video,Electronics: TV and video,Store,6090,341.04,6431.04,2436
2020-11-15,Prior,13489-3-IN,North,Individual,Office supplies,Office basics,Office supplies: Office basics,Catalog,260,13.78,273.78,104
2021-10-25,Current,11573-2-IN,East,Individual,Office supplies,Paper,Office supplies: Paper,Store,510,21.93,531.93,204
2021-06-10,Current,12019-4-IN,South,Individual,Office supplies,Writing,Office supplies: Writing,Store,20,1.06,21.06,8
2021-09-06,Current,10055-5-BU,West,Business,Electronics,Computers,Electronics: Computers,Store,3790,83.38,3873.38,1516
2021-07-11,Current,11372-4-IN,South,Individual,Office supplies,Writing,Office supplies: Writing,Store,290,15.37,305.37,116
2021-05-29,Current,14797-2-IN,East,Individual,Books,Nonfiction - Technology,Books: Nonfiction - Technology,Website,100,3.4,103.4,40
2021-02-08,Current,10911-3-IN,North,Individual,Electronics,Cell phones,Electronics: Cell phones,Store,2970,124.74,3094.74,1188
2020-03-11,Prior,17969-5-IN,West,Individual,Books,Nonfiction - Technology,Books: Nonfiction - Technology,Store,140,4.9,144.9,56
2020-04-03,Prior,11291-4-IN,South,Individual,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Website,320,24.0,344.0,128
2021-04-29,Current,14998-2-IN,East,Individual,Books,Nonfiction - History,Books: Nonfiction - History,Catalog,490,21.07,511.07,196
2020-03-15,Prior,13939-5-IN,West,Individual,Electronics,Cell phones,Electronics: Cell phones,Store,1720,113.52,1833.52,688
2020-08-15,Prior,12284-5-IN,West,Individual,Office supplies,Writing,Office supplies: Writing,Store,160,6.72,166.72,64
2020-01-20,Prior,13003-2-IN,East,Individual,Electronics,TV and video,Electronics: TV and video,Store,7300,532.9,7832.9,2920
2021-11-01,Current,13530-1-BU,Central,Business,Electronics,Cell phones,Electronics: Cell phones,Website,2470,160.55,2630.55,988
2020-09-01,Prior,16705-1-IN,Central,Individual,Office supplies,Calendars,Office supplies: Calendars,Store,80,3.04,83.04,32
2021-12-14,Current,18009-5-BU,West,Business,Books,Nonfiction - History,Books: Nonfiction - History,Website,190,11.78,201.78,76
2021-09-15,Current,10219-1-BU,Central,Business,Electronics,TV and video,Electronics: TV and video,Catalog,5520,314.64,5834.64,2208
2021-11-01,Current,10638-5-IN,West,Individual,Office supplies,Writing,Office supplies: Writing,Store,210,12.81,222.81,84
2020-04-10,Prior,16455-3-IN,North,Individual,Office supplies,Office basics,Office supplies: Office basics,Catalog,1190,67.83,1257.83,476
2020-06-28,Prior,17340-4-IN,South,Individual,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Store,670,37.52,707.52,268
2020-11-15,Prior,12143-2-IN,East,Individual,Electronics,Computers,Electronics: Computers,Store,4410,189.63,4599.63,1764
2021-09-01,Current,12904-2-IN,East,Individual,Electronics,TV and video,Electronics: TV and video,Catalog,7320,527.04,7847.04,2928
2020-09-01,Prior,13668-5-IN,West,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,320,7.68,327.68,128
2021-07-13,Current,16467-2-IN,East,Individual,Office supplies,Office basics,Office supplies: Office basics,Catalog,1490,81.95,1571.95,596
2020-12-26,Prior,17744-1-IN,Central,Individual,Electronics,Cell phones,Electronics: Cell phones,Catalog,3100,133.3,3233.3,1240
2020-02-04,Prior,15330-2-IN,East,Individual,Electronics,TV and video,Electronics: TV and video,Store,1600,76.8,1676.8,640
2020-11-23,Prior,15860-1-IN,Central,Individual,Office supplies,Calendars,Office supplies: Calendars,Catalog,130,5.72,135.72,52
2020-05-23,Prior,19337-1-IN,Central,Individual,Electronics,TV and video,Electronics: TV and video,Store,7290,605.07,7895.07,2916
2020-10-25,Prior,13332-5-IN,West,Individual,Office supplies,Writing,Office supplies: Writing,Store,140,7.84,147.84,56
2021-09-30,Current,18513-4-IN,South,Individual,Office supplies,Paper,Office supplies: Paper,Website,690,42.78,732.78,276
2021-09-06,Current,10662-1-IN,Central,Individual,Office supplies,Writing,Office supplies: Writing,Store,270,23.22,293.22,108
2021-09-01,Current,10015-3-IN,North,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,1630,104.32,1734.32,652
2020-07-13,Prior,10295-4-IN,South,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,1400,81.2,1481.2,560
2020-06-06,Prior,19059-5-BU,West,Business,Books,Nonfiction - Self-help,Books: Nonfiction - Self-help,Website,10,0.67,10.67,4
2020-01-07,Prior,16394-5-BU,West,Business,Office supplies,Office basics,Office supplies: Office basics,Store,700,30.8,730.8,280
2020-05-17,Prior,10570-2-IN,East,Individual,Office supplies,Paper,Office supplies: Paper,Website,390,13.26,403.26,156
2020-11-23,Prior,16250-3-IN,North,Individual,Electronics,Cell phones,Electronics: Cell phones,Store,3970,162.77,4132.77,1588
2021-10-12,Current,11009-1-IN,Central,Individual,Office supplies,Paper,Office supplies: Paper,Website,480,35.04,515.04,192
2021-09-04,Current,11868-3-IN,North,Individual,Electronics,Cell phones,Electronics: Cell phones,Website,1780,108.58,1888.58,712
2020-10-26,Prior,16190-4-BU,South,Business,Office supplies,Office basics,Office supplies: Office basics,Store,1590,124.02,1714.02,636
2021-06-06,Current,13002-4-IN,South,Individual,Electronics,TV and video,Electronics: TV and video,Catalog,2510,145.58,2655.58,1004
2021-06-12,Current,18778-2-BU,East,Business,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Website,220,9.24,229.24,88
2020-04-30,Prior,10052-5-IN,West,Individual,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Store,780,59.28,839.28,312
2020-03-26,Prior,12630-1-IN,Central,Individual,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Store,770,50.82,820.82,308
2021-07-13,Current,15213-4-IN,South,Individual,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Store,400,14.0,414.0,160
2020-11-15,Prior,10926-5-BU,West,Business,Office supplies,Office basics,Office supplies: Office basics,Store,320,21.76,341.76,128
2021-07-30,Current,12114-4-IN,South,Individual,Electronics,Cell phones,Electronics: Cell phones,Website,3450,182.85,3632.85,1380
2020-04-12,Prior,15354-1-BU,Central,Business,Electronics,TV and video,Electronics: TV and video,Website,6500,435.5,6935.5,2600
2020-08-12,Prior,17884-1-BU,Central,Business,Office supplies,Office basics,Office supplies: Office basics,Store,1090,61.04,1151.04,436
2020-02-04,Prior,18336-3-IN,North,Individual,Electronics,Computers,Electronics: Computers,Store,4650,255.75,4905.75,1860
2021-05-24,Current,19506-4-BU,South,Business,Office supplies,Writing,Office supplies: Writing,Catalog,170,10.54,180.54,68
2021-11-04,Current,14875-3-BU,North,Business,Electronics,TV and video,Electronics: TV and video,Store,3390,227.13,3617.13,1356
2021-05-29,Current,17922-1-IN,Central,Individual,Electronics,Computers,Electronics: Computers,Store,550,29.7,579.7,220
2021-07-13,Current,11920-5-IN,West,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,1880,125.96,2005.96,752
2021-12-05,Current,10976-2-IN,East,Individual,Electronics,TV and video,Electronics: TV and video,Store,1570,89.49,1659.49,628
2020-03-31,Prior,19335-3-IN,North,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,820,80.36,900.36,328
2020-12-11,Prior,17472-3-IN,North,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,1330,77.14,1407.14,532
2020-04-12,Prior,18677-4-IN,South,Individual,Electronics,Cell phones,Electronics: Cell phones,Website,3970,254.08,4224.08,1588
2021-08-18,Current,13888-2-BU,East,Business,Office supplies,Paper,Office supplies: Paper,Website,930,66.96,996.96,372
2021-09-06,Current,11242-4-BU,South,Business,Office supplies,Writing,Office supplies: Writing,Catalog,270,14.04,284.04,108
2020-08-28,Prior,14584-5-BU,West,Business,Electronics,Cell phones,Electronics: Cell phones,Store,1890,100.17,1990.17,756
2020-06-13,Prior,19868-2-IN,East,Individual,Office supplies,Office basics,Office supplies: Office basics,Catalog,1400,102.2,1502.2,560
2020-04-12,Prior,12884-3-BU,North,Business,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Store,290,9.86,299.86,116
2021-08-11,Current,18610-1-BU,Central,Business,Office supplies,Paper,Office supplies: Paper,Catalog,920,41.4,961.4,368
2021-07-26,Current,16419-3-BU,North,Business,Office supplies,Paper,Office supplies: Paper,Catalog,770,55.44,825.44,308
2020-12-06,Prior,16501-5-IN,West,Individual,Office supplies,Writing,Office supplies: Writing,Website,400,14.4,414.4,160
2020-06-27,Prior,19636-5-IN,West,Individual,Office supplies,Writing,Office supplies: Writing,Store,270,24.57,294.57,108
2020-07-17,Prior,18066-2-BU,East,Business,Electronics,Computers,Electronics: Computers,Store,3820,233.02,4053.02,1528
2020-07-17,Prior,15700-5-IN,West,Individual,Electronics,Cell phones,Electronics: Cell phones,Store,850,45.05,895.05,340
2021-09-09,Current,15287-1-BU,Central,Business,Office supplies,Office basics,Office supplies: Office basics,Catalog,1970,53.19,2023.19,788
2021-10-20,Current,11719-1-IN,Central,Individual,Electronics,Computers,Electronics: Computers,Store,3270,245.25,3515.25,1308
2020-06-13,Prior,14023-3-IN,North,Individual,Electronics,TV and video,Electronics: TV and video,Store,7290,561.33,7851.33,2916
2020-03-10,Prior,13760-3-IN,North,Individual,Office supplies,Writing,Office supplies: Writing,Catalog,220,7.48,227.48,88
2021-10-25,Current,19768-1-BU,Central,Business,Office supplies,Paper,Office supplies: Paper,Catalog,730,51.83,781.83,292
2021-06-10,Current,12453-1-IN,Central,Individual,Electronics,Computers,Electronics: Computers,Store,4510,324.72,4834.72,1804
2020-02-16,Prior,17203-2-BU,East,Business,Office supplies,Office basics,Office supplies: Office basics,Website,350,22.05,372.05,140
2020-06-29,Prior,19416-5-IN,West,Individual,Books,Nonfiction - Technology,Books: Nonfiction - Technology,Store,90,4.77,94.77,36
2020-01-19,Prior,12551-4-IN,South,Individual,Books,Nonfiction - Technology,Books: Nonfiction - Technology,Store,160,10.56,170.56,64
2020-06-29,Prior,14325-4-BU,South,Business,Office supplies,Paper,Office supplies: Paper,Store,770,50.82,820.82,308
2020-06-29,Prior,19279-4-IN,South,Individual,Office supplies,Paper,Office supplies: Paper,Store,320,18.24,338.24,128
2020-06-29,Prior,15505-3-BU,North,Business,Office supplies,Writing,Office supplies: Writing,Store,80,4.24,84.24,32
2021-07-04,Current,10451-1-BU,Central,Business,Office supplies,Paper,Office supplies: Paper,Catalog,290,16.53,306.53,116
2021-06-05,Current,16122-4-BU,South,Business,Electronics,Computers,Electronics: Computers,Website,4890,283.62,5173.62,1956
2020-03-22,Prior,11367-3-BU,North,Business,Office supplies,Office basics,Office supplies: Office basics,Catalog,1880,86.48,1966.48,752
2020-02-14,Prior,19258-2-IN,East,Individual,Books,Nonfiction - Technology,Books: Nonfiction - Technology,Store,10,0.36,10.36,4
2020-03-10,Prior,17183-2-IN,East,Individual,Office supplies,Paper,Office supplies: Paper,Store,880,59.84,939.84,352
2020-02-09,Prior,14201-5-IN,West,Individual,Electronics,TV and video,Electronics: TV and video,Store,9150,494.1,9644.1,3660
2021-07-13,Current,17583-5-IN,West,Individual,Electronics,TV and video,Electronics: TV and video,Catalog,7440,409.2,7849.2,2976
2021-09-26,Current,10580-3-IN,North,Individual,Books,Nonfiction - Technology,Books: Nonfiction - Technology,Store,160,6.56,166.56,64
2020-01-21,Prior,11005-4-IN,South,Individual,Electronics,Computers,Electronics: Computers,Store,3700,284.9,3984.9,1480
2021-10-20,Current,16250-3-IN,North,Individual,Office supplies,Office basics,Office supplies: Office basics,Store,140,5.74,145.74,56
2020-03-11,Prior,14831-4-BU,South,Business,Office supplies,Office basics,Office supplies: Office basics,Store,1670,105.21,1775.21,668
2020-06-06,Prior,19257-2-IN,East,Individual,Office supplies,Calendars,Office supplies: Calendars,Catalog,20,0.68,20.68,8
2021-11-24,Current,13396-5-IN,West,Individual,Office supplies,Paper,Office supplies: Paper,Website,970,69.84,1039.84,388
2021-09-02,Current,16151-3-IN,North,Individual,Books,Nonfiction - Leadership,Books: Nonfiction - Leadership,Store,90,5.94,95.94,36
2021-05-19,Current,10240-2-IN,East,Individual,Books,Nonfiction - History,Books: Nonfiction - History,Catalog,130,4.68,134.68,52
2020-10-08,Prior,14719-3-BU,North,Business,Office supplies,Paper,Office supplies: Paper,Website,150,8.55,158.55,60
